[Epoch: 68], Train accuracy: 86.95%, Test accuracy: 93.59%
[Epoch: 69], Train accuracy: 87.09%, Test accuracy: 93.59%
[Epoch: 70], Train accuracy: 87.16%, Test accuracy: 93.54%
[Epoch: 71], Train accuracy: 87.19%, Test accuracy: 93.57%
[Epoch: 72], Train accuracy: 87.22%, Test accuracy: 93.57%
[Epoch: 73], Train accuracy: 87.29%, Test accuracy: 93.57%
[Epoch: 74], Train accuracy: 87.28%, Test accuracy: 93.63%
[Epoch: 75], Train accuracy: 87.34%, Test accuracy: 93.65%
[Epoch: 76], Train accuracy: 87.22%, Test accuracy: 93.65%
[Epoch: 77], Train accuracy: 87.11%, Test accuracy: 93.68%
[Epoch: 78], Train accuracy: 87.15%, Test accuracy: 93.71%
[Epoch: 79], Train accuracy: 87.18%, Test accuracy: 93.70%
[Epoch: 80], Train accuracy: 87.44%, Test accuracy: 93.68%
[Epoch: 81], Train accuracy: 87.44%, Test accuracy: 93.65%
[Epoch: 82], Train accuracy: 87.56%, Test accuracy: 93.63%
[Epoch: 83], Train accuracy: 87.52%, Test accuracy: 93.63%
[Epoch: 84], Train accuracy: 87.58%, Test accuracy: 93.68%
[Epoch: 85], Train accuracy: 87.65%, Test accuracy: 93.70%
[Epoch: 86], Train accuracy: 87.75%, Test accuracy: 93.68%
[Epoch: 87], Train accuracy: 87.76%, Test accuracy: 93.71%
[Epoch: 88], Train accuracy: 87.82%, Test accuracy: 93.73%
[Epoch: 89], Train accuracy: 87.88%, Test accuracy: 93.71%
[Epoch: 90], Train accuracy: 87.91%, Test accuracy: 93.71%
[Epoch: 91], Train accuracy: 87.95%, Test accuracy: 93.70%
[Epoch: 92], Train accuracy: 88.06%, Test accuracy: 93.70%
[Epoch: 93], Train accuracy: 88.16%, Test accuracy: 93.70%
[Epoch: 94], Train accuracy: 88.23%, Test accuracy: 93.68%
[Epoch: 95], Train accuracy: 88.32%, Test accuracy: 93.71%
[Epoch: 96], Train accuracy: 88.71%, Test accuracy: 93.77%
[Epoch: 97], Train accuracy: 88.67%, Test accuracy: 93.77%
[Epoch: 98], Train accuracy: 88.57%, Test accuracy: 93.74%
[Epoch: 99], Train accuracy: 88.60%, Test accuracy: 93.74%
[Epoch: 100], Train accuracy: 88.60%, Test accuracy: 93.76%
[Epoch: 101], Train accuracy: 88.60%, Test accuracy: 93.79%
[Epoch: 102], Train accuracy: 88.60%, Test accuracy: 93.82%
[Epoch: 103], Train accuracy: 88.67%, Test accuracy: 93.82%
[Epoch: 104], Train accuracy: 88.62%, Test accuracy: 93.80%
[Epoch: 105], Train accuracy: 88.63%, Test accuracy: 93.82%
[Epoch: 106], Train accuracy: 88.62%, Test accuracy: 93.80%
[Epoch: 107], Train accuracy: 88.62%, Test accuracy: 93.84%
[Epoch: 108], Train accuracy: 89.45%, Test accuracy: 93.90%
[Epoch: 109], Train accuracy: 89.41%, Test accuracy: 93.91%
[Epoch: 110], Train accuracy: 89.35%, Test accuracy: 93.93%
[Epoch: 111], Train accuracy: 89.24%, Test accuracy: 93.94%
